,artist,track,genres
46,Seether Featuring Amy Lee,Broken,"['alternative metal', 'nu metal', 'post-grunge', 'south african rock']"
47,Simple Plan,I'd Do Anything,"['canadian pop punk', 'canadian punk', 'canadian rock', 'pop punk']"
48,The Black Eyed Peas,Meet Me Halfway,"['dance pop', 'pop', 'pop rap']"
49,Hitman Sammy Sam,Step Daddy,[]
50,Blink-182,I Miss You,"['pop punk', 'punk', 'socal pop punk']"
51,U2 & Green Day,The Saints Are Coming,"['irish rock', 'permanent wave', 'rock', 'permanent wave', 'pop punk', 'punk']"
52,Christina Aguilera,Beautiful,"['dance pop', 'pop', 'pop rap', 'post-teen pop']"
53,Linkin Park,Shadow Of The Day,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']"
54,Brian McComas,99.9% Sure (I've Never Been Here Before),"['arkansas country', 'country road', 'modern country rock']"
55,Montgomery Gentry,Some People Change,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']"
56,Jesse McCartney,Right Where You Want Me,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'urban contemporary', 'viral pop']"
57,JoJo Featuring Bow Wow,Baby It's You,"['dance pop', 'hip pop', 'pop', 'pop r&b', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']"
58,Buddy Jewell,Help Pour Out The Rain (Lacey's Song),"['country', 'country road']"
59,Rob Thomas,Ever The Same,"['acoustic pop', 'neo mellow', 'pop rock']"
60,J. Holiday,Suffocate,"['bassline', 'hip pop', 'new jack swing', 'pop r&b', 'pop rap', 'r&b', 'urban contemporary']"
61,Joe Nichols,If Nobody Believed In You,"['arkansas country', 'contemporary country', 'country', 'country road', 'modern country rock']"
62,Jet,Are You Gonna Be My Girl,"['modern rock', 'rock']"
63,Finger Eleven,One Thing,"['alternative metal', 'canadian rock', 'funk metal', 'nu metal', 'post-grunge', 'rap rock', 'wrestling']"
64,T.I. Featuring Wyclef Jean,You Know What It Is,"['atl hip hop', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'rap kreyol']"
65,Christina Milian,AM To PM,"['dance pop', 'hip pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']"
66,Lily Allen,The Fear,"['dance pop', 'pop']"
67,Dierks Bentley,Come A Little Closer,"['contemporary country', 'country', 'country road']"
68,Bilal,Soul Sista,"['hip hop', 'indie soul', 'neo soul', 'urban contemporary', 'funk', 'hip hop', 'neo soul', 'r&b', 'soul', 'urban contemporary']"
69,Mandy Moore,I Wanna Be With You,"['dance pop', 'hollywood', 'movie tunes', 'pop', 'post-teen pop', 'show tunes']"
70,Daft Punk,One More Time,"['electro', 'filter house']"
71,Nelly Furtado,I'm Like A Bird,"['canadian latin', 'canadian pop', 'dance pop', 'pop', 'pop rap']"
72,Terri Clark,Girls Lie Too,"['alberta country', 'canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country dawn', 'country road', 'country rock']"
73,NB Ridaz Featuring Angelina,Runaway,"['chicano rap', 'latin hip hop']"
74,Lou Bega,"Tricky, Tricky",['latin pop']
75,R. Kelly Featuring Keri Hilson,Number One,"['dance pop', 'hip pop', 'pop', 'pop r&b', 'post-teen pop', 'r&b', 'urban contemporary']"
76,Cassidy Featuring Mashonda,Get No Better,"['battle rap', 'hip hop', 'hip pop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'hip pop', 'urban contemporary']"
77,Mary J. Blige,No More Drama,"['dance pop', 'hip pop', 'neo soul', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
78,Lifehouse,Broken,"['alternative metal', 'neo mellow', 'pop rock', 'post-grunge']"
79,50 Cent,I Get Money,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']"
80,Lil Wayne Featuring Jay-Z,Mr. Carter,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap', 'east coast hip hop', 'hip hop', 'pop rap', 'rap']"
81,Chris Cagle,What Kinda Gone,"['contemporary country', 'country', 'country road', 'modern country rock']"
82,B2K,Why I Love You,"['boy band', 'dance pop', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'urban contemporary']"
83,Whitney Houston,I Look To You,"['dance pop', 'pop', 'urban contemporary']"
84,Bone Crusher Featuring Killer Mike & T.I.,Never Scared,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'pop rap', 'southern hip hop', 'trap', 'alternative hip hop', 'atl hip hop', 'conscious hip hop', 'dirty south rap', 'escape room', 'political hip hop', 'southern hip hop', 'atl hip hop', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
85,D12,My Band,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']"
86,OneRepublic,All The Right Moves,"['dance pop', 'piano rock', 'pop', 'pop rock']"
87,Lloyd Featuring Lil Wayne,Girls Around The World,"['dance pop', 'hip pop', 'pop', 'pop r&b', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary', 'hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
88,The Pussycat Dolls Featuring Nicole Scherzinger,Hush Hush,"['dance pop', 'girl group', 'pop', 'pop rap', 'post-teen pop', 'urban contemporary']"
89,Snoop Dogg Presents Tha Eastsidaz,G'd Up,"['g funk', 'gangster rap', 'west coast rap', 'west coast trap', 'g funk', 'west coast rap']"
90,Fabolous Featuring Mike Shorey & Lil' Mo,Can't Let You Go,"['dance pop', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap', 'trap', 'urban contemporary', 'hip pop', 'r&b', 'urban contemporary']"
91,Maxwell,Bad Habits,"['funk', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'soul', 'urban contemporary']"
92,Radiohead,Nude,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
93,Los Lonely Boys,Heaven,[]
94,Janet Jackson,I Want You,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']"
95,Ty Herndon,Steam,"['country', 'country road', 'country rock']"
96,Chingy,Right Thurr,"['crunk', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'rap', 'southern hip hop', 'urban contemporary']"
97,Liz Phair,Why Can't I?,"['alternative pop', 'alternative rock', 'anti-folk', 'candy pop', 'folk', 'lilith', 'new wave pop', 'permanent wave', 'pop rock', 'power pop']"
98,Demi Lovato,Here We Go Again,"['dance pop', 'pop', 'post-teen pop']"
99,Jagged Edge,Goodbye,"['atl hip hop', 'dance pop', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'pop rap', 'quiet storm', 'r&b', 'southern hip hop', 'urban contemporary']"
100,Nickelback,Too Bad,"['alternative metal', 'canadian rock', 'nu metal', 'post-grunge']"
101,Sean Kingston,Take You There,"['dance pop', 'miami hip hop', 'pop', 'post-teen pop', 'urban contemporary']"
102,Pat Green,Feels Just Like It Should,['texas country']
103,Amber,Sexual (Li Da Di),"['tribal house', 'vocal house']"
104,Joe Nichols,Tequila Makes Her Clothes Fall Off,"['arkansas country', 'contemporary country', 'country', 'country road', 'modern country rock']"
105,Faith Evans,Again,"['hip hop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
106,No Doubt Featuring Lady Saw,Underneath It All,"['alternative rock', 'dance pop', 'dance rock', 'permanent wave', 'pop rock', 'dancehall', 'lovers rock', 'old school dancehall', 'reggae fusion', 'soca']"
107,Lil Wayne,On Fire,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
108,Rick Ross Featuring T-Pain,The Boss,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
109,Dirty Vegas,Days Go By,['big beat']
110,John Legend Featuring Andre 3000,Green Light,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary', 'atl hip hop', 'dirty south rap', 'southern hip hop']"
111,Brad Paisley,American Saturday Night,"['contemporary country', 'country', 'country road']"
112,Marc Anthony,I Need To Know,"['latin', 'latin pop', 'modern salsa', 'salsa', 'tropical']"
113,Ne-Yo,Because Of You,"['dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
114,Alan Jackson,Drive (For Daddy Gene),"['contemporary country', 'country', 'country road']"
115,Gary Allan,Watching Airplanes,"['contemporary country', 'country', 'country road', 'country rock', 'modern country rock']"
116,Linkin Park,Numb,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']"
117,The All-American Rejects,"Swing, Swing","['modern rock', 'neo mellow', 'pop punk', 'pop rock', 'post-teen pop']"
118,Dashboard Confessional,Don't Wait,"['emo', 'neo mellow', 'pop punk', 'pop rock']"
119,Ashanti,Foolish,"['dance pop', 'hip hop', 'hip pop', 'pop', 'r&b', 'urban contemporary']"
120,Mary J. Blige Featuring Eve,Not Today,"['dance pop', 'hip pop', 'neo soul', 'pop', 'pop rap', 'r&b', 'urban contemporary', 'dance pop', 'gangster rap', 'hip hop', 'hip pop', 'philly rap', 'pop rap', 'r&b', 'rap', 'urban contemporary']"
121,Ricky Martin,Tal Vez,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'puerto rican pop']"
122,Mynt Featuring Kim Sozzi,How Did You Know?,"['vocal house', 'wrestling']"
123,Mr. C The Slide Man,Cha-Cha Slide,['kids dance party']
124,Selena Gomez & The Scene,Falling Down,"['dance pop', 'electropop', 'pop', 'pop rap', 'post-teen pop', 'social media pop', 'viral pop']"
125,Chris Cagle,"I Breathe In, I Breathe Out","['contemporary country', 'country', 'country road', 'modern country rock']"
126,Blake Shelton,Home,"['contemporary country', 'country', 'country road', 'oklahoma country', 'adult standards', 'canadian pop', 'jazz pop', 'lounge']"
127,Keith Urban,Only You Can Love Me This Way,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road']"
128,Darius Rucker,Alright,"['contemporary country', 'country', 'country road']"
129,Chris Cagle,My Love Goes On And On,"['contemporary country', 'country', 'country road', 'modern country rock']"
130,Toby Keith,Get Drunk And Be Somebody,"['contemporary country', 'country', 'country road', 'oklahoma country']"
131,Montgomery Gentry,She Couldn't Change Me,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']"
132,Ja Rule Featuring Bobby Brown,Thug Lovin',"['dance pop', 'east coast hip hop', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'queens hip hop', 'rap', 'urban contemporary', 'funk', 'hip hop', 'new jack swing', 'quiet storm', 'r&b', 'rap', 'urban contemporary']"
133,Birdman Featuring Lil Wayne & Drake,Money To Blow,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap', 'canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
134,Trick Daddy Featuring LaTocha Scott,Thug Holiday,"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
135,Jennifer Hanson,Beautiful Goodbye,['country dawn']
136,Faith Hill,The Way You Love Me,"['contemporary country', 'country', 'country dawn', 'country road', 'dance pop']"
137,O-Town,These Are The Days,"['boy band', 'dance pop']"
138,The Red Jumpsuit Apparatus,Face Down,"['emo', 'pop punk', 'pop rock', 'screamo']"
139,Nickelback,If Today Was Your Last Day,"['alternative metal', 'canadian rock', 'nu metal', 'post-grunge']"
140,AFI,Miss Murder,"['alternative metal', 'emo', 'pop punk', 'punk', 'screamo', 'skate punk']"
141,Shakira Featuring Alejandro Sanz,La Tortura,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop', 'cantautor', 'latin', 'latin arena pop', 'latin pop', 'mexican pop', 'rock en espanol', 'spanish pop']"
142,P!nk,You Make Me Sick,"['dance pop', 'pop', 'post-teen pop']"
143,Faith Hill,Mississippi Girl,"['contemporary country', 'country', 'country dawn', 'country road', 'dance pop']"
144,Nelly Featuring Fergie,Party People,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'st louis rap', 'urban contemporary', 'dance pop', 'pop', 'post-teen pop', 'urban contemporary']"
145,Ludacris,Splash Waterfalls,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
146,The Lost Trailers,Holler Back,"['contemporary country', 'country', 'country road', 'modern country rock']"
147,Enrique Iglesias,Escape,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop']"
148,Snoop Dogg Featuring Tyrese & Mr. Tan,Just A Baby Boy,"['hip hop', 'hip pop', 'neo soul', 'new jack swing', 'pop r&b', 'pop rap', 'quiet storm', 'r&b', 'urban contemporary']"
149,Jonas Brothers,Lovebug,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
150,Cascada,Everytime We Touch,"['bubblegum dance', 'dance pop', 'eurodance', 'europop', 'german techno', 'melbourne bounce international', 'pop rap']"
151,Death Cab For Cutie,I Will Possess Your Heart,"['indie pop', 'indie rock', 'modern rock', 'pop rock', 'washington indie']"
152,MGMT,Kids,"['alternative dance', 'indie rock', 'indietronica', 'modern rock', 'rock']"
153,Wisin & Yandel,Rakata,"['electro latino', 'latin', 'latin hip hop', 'reggaeton', 'trap latino']"
154,New Edition,Hot 2Nite,"['boy band', 'funk', 'hip pop', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
155,Justin Timberlake,SexyBack,"['dance pop', 'pop', 'dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'urban contemporary']"
156,Ol' Dirty Bastard Featuring Kelis,Got Your Money,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'dance pop', 'electropop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'urban contemporary']"
157,Anya Marina,Whatever You Like,"['acoustic pop', 'ann arbor indie']"
158,Carl Thomas,Emotional,"['hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
159,Akon Featuring Sweet Rush,Troublemaker,['dance pop']
160,JAY-Z,Change Clothes,"['east coast hip hop', 'hip hop', 'pop rap', 'rap']"
161,Jonas Brothers,S.O.S.,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
162,Keyshia Cole,I Should Have Cheated,"['dance pop', 'hip pop', 'neo soul', 'pop', 'pop r&b', 'pop rap', 'r&b', 'urban contemporary']"
163,Yellowcard,Lights And Sounds,"['bow pop', 'emo', 'pop punk', 'socal pop punk']"
164,Paramore,Misery Business,"['candy pop', 'emo', 'pixie', 'pop emo', 'pop punk']"
165,Faith Evans,You Gets No Love,"['hip hop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary', 'hip pop', 'pop rap', 'dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap']"
166,Juvenile,Set It Off,"['bounce', 'crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'new orleans rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
167,Maroon 5 Featuring Rihanna,If I Never See Your Face Again,"['pop', 'pop rock']"
168,Busta Rhymes Featuring P. Diddy & Pharrell,Pass The Courvoisier Part II,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'pop rap']"
169,Lonestar,Mr. Mom,"['contemporary country', 'country', 'country road']"
170,Brooks & Dunn,Ain't Nothing 'Bout You,"['contemporary country', 'country', 'country road', 'country rock', 'contemporary country']"
171,Trace Adkins,Ladies Love Country Boys,"['contemporary country', 'country', 'country road', 'country rock', 'modern country rock', 'redneck']"
172,Keyshia Cole,You Complete Me,"['dance pop', 'hip pop', 'neo soul', 'pop', 'pop r&b', 'pop rap', 'r&b', 'urban contemporary']"
173,Cherish Featuring Sean Paul Of The YoungBloodZ,Do It To It,"['atl hip hop', 'dance pop', 'girl group', 'hip pop', 'pop r&b', 'pop rap', 'r&b', 'southern hip hop', 'urban contemporary']"
174,Shinedown,Second Chance,"['alternative metal', 'modern rock', 'nu metal', 'post-grunge']"
175,Flo Rida Featuring will.i.am,In The Ayer,"['dance pop', 'miami hip hop', 'pop', 'pop rap', 'dance pop', 'pop', 'pop rap', 'post-teen pop']"
176,Ludacris Featuring Shawnna,Stand Up,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'chicago rap', 'hip pop', 'pop rap']"
177,Lil Mama,Lip Gloss,"['hip pop', 'pop rap', 'trap queen']"
178,Justin Bieber,One Time,"['canadian pop', 'pop', 'post-teen pop']"
179,Shaggy Featuring Rayvon,Angel,"['reggae fusion', 'barbadian pop', 'reggae fusion']"
180,Carrie Underwood,Inside Your Heaven,"['contemporary country', 'country', 'country dawn', 'country road', 'oklahoma country', 'post-teen pop']"
181,Christina Aguilera,Come On Over Baby (All I Want Is You),"['dance pop', 'pop', 'pop rap', 'post-teen pop']"
182,Clint Black,When I Said I Do,"['country', 'country road', 'country rock']"
183,Sugarland,All I Want To Do,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']"
184,Kenny Chesney,Big Star,"['contemporary country', 'country', 'country road']"
185,Cheyenne Kimball,Hanging On,['post-teen pop']
186,Brooks & Dunn,Hillbilly Deluxe,"['contemporary country', 'country', 'country road', 'country rock']"
187,Taylor Swift,You Belong With Me,"['pop', 'post-teen pop']"
188,George Strait,Cowboys Like Us,"['contemporary country', 'country', 'country road', 'country rock']"
189,Mat Kearney,Closer To Love,"['acoustic pop', 'indie poptimism', 'indiecoustica', 'neo mellow', 'pop rock', 'stomp and holler']"
190,Jonell & Method Man,Round And Round,[]
191,Faith Hill,The Lucky One,"['contemporary country', 'country', 'country dawn', 'country road', 'dance pop']"
192,DragonForce,Through The Fire And Flames,"['british power metal', 'metal', 'neo classical metal', 'power metal', 'speed metal']"
193,Backstreet Boys,Just Want You To Know,"['boy band', 'dance pop']"
194,Jonas Brothers,Play My Music,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
195,Tim McGraw,Suspicions,"['contemporary country', 'country', 'country road']"
196,JC Chasez Featuring Dirt McGirt,Some Girls (Dance With Women),[]
197,David Banner Featuring Chris Brown,Get Like Me,"['conscious hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'mississippi hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'dance pop', 'pop', 'pop rap', 'r&b', 'rap', 'atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
198,Jason Michael Carroll,Where I'm From,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
199,Mims,Like This,['pop rap']
200,George Strait,Twang,"['contemporary country', 'country', 'country road', 'country rock']"
201,Mariah Carey Featuring Joe & 98 Degrees,Thank God I Found You,"['dance pop', 'pop', 'r&b', 'urban contemporary', 'dance pop', 'hip pop', 'neo soul', 'new jack swing', 'pop rap', 'r&b', 'urban contemporary', 'boy band', 'dance pop']"
202,Jamie Foxx Featuring Twista,DJ Play A Love Song,"['hip hop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'southern hip hop', 'urban contemporary', 'chicago rap', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'trap', 'urban contemporary']"
203,Ashlee Simpson,Shadow,"['dance pop', 'post-teen pop']"
204,Carrie Underwood,Just A Dream,"['contemporary country', 'country', 'country dawn', 'country road', 'oklahoma country', 'post-teen pop']"
205,Foo Fighters,The Pretender,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']"
206,P$C Featuring T.I. & Lil Scrappy,I'm A King,"['atl hip hop', 'dirty south rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
207,Linkin Park,Somewhere I Belong,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']"
208,SHeDAISY,I Will...But,"['contemporary country', 'country', 'country dawn', 'country road']"
209,Ricky Martin,Shake Your Bon-Bon,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'puerto rican pop']"
210,Josh Turner,Your Man,"['contemporary country', 'country', 'country road', 'modern country rock']"
211,Jagged Edge,He Can't Love U,"['atl hip hop', 'dance pop', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'pop rap', 'quiet storm', 'r&b', 'southern hip hop', 'urban contemporary']"
212,Jagged Edge With Nelly,Where The Party At,"['atl hip hop', 'dance pop', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'pop rap', 'quiet storm', 'r&b', 'southern hip hop', 'urban contemporary', 'dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'st louis rap', 'urban contemporary']"
213,John Michael Montgomery,The Little Girl,"['contemporary country', 'country', 'country road', 'country rock', 'bluegrass', 'folk', 'lilith', 'progressive bluegrass', 'bluegrass', 'mandolin', 'progressive bluegrass']"
214,50 Cent,P.I.M.P.,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']"
215,Rob Thomas,Streetcorner Symphony,"['acoustic pop', 'neo mellow', 'pop rock']"
216,Kenny Chesney With The Wailers,Everybody Wants To Go To Heaven,"['contemporary country', 'country', 'country road', 'dub', 'reggae', 'roots reggae', 'ska']"
217,David Guetta Featuring Kelly Rowland,When Love Takes Over,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']"
218,Common Featuring Pharrell,Universal Mind Control,"['alternative hip hop', 'chicago rap', 'conscious hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'neo soul', 'political hip hop', 'rap']"
219,Rodney Atkins,Cleaning This Gun (Come On In Boy),"['contemporary country', 'country', 'country road', 'modern country rock']"
